ico_smluvni_strany;castka;nazev_smluvni_strany;predmet;publikovano;hodnota_raw
66002222;;Ministerstvo pro místní rozvoj;"DOHODA O UKONČENÍ SMLOUVY,
ÚČASTNICKÁ SMLOUVA";03.03.2026;Neuvedeno
27156052;2159000,0;Moudrý překlad, s.r.o.;Organizační zajištění Mezinárodní konference 2026;03.03.2026;2 159 000 CZK bez DPH
00288942;222000,0;Obec Vrchoslavice;Smlouva o darování vozidla;02.03.2026;222 000 CZK s DPH
07081561;1694149,0;SEVITECH CZ s.r.o.;Dodatek č.1 smlouvy CES 6799 na poskytnutí odborných rolí;27.02.2026;1 694 149 CZK bez DPH
;1694149,0;SYNCHRONIX, a.s.;Dodatek č.1 smlouvy CES 6799 na poskytnutí odborných rolí;27.02.2026;1 694 149 CZK bez DPH
71234608;98402,0;Regionální vzdělávací a informační středisko, příspěvková organizace;Smlouva o podmínkách realizace projektu (SoPR) - 284/LP1;26.02.2026;98 402 EUR
04095316;98402,0;Centrum pro regionální rozvoj České republiky;Smlouva o podmínkách realizace projektu (SoPR) - 284/LP1;26.02.2026;98 402 EUR
18630197;18882889,0;KONSIT a.s.;Smlouva - Denní stacionář;25.02.2026;18 882 889 CZK bez DPH
47114983;;Česká pošta, s.p.;Hybridní a konverzní pošta Bystřice pod Hostýnem;24.02.2026;Neuvedeno
66002222;;Ministerstvo pro místní rozvoj;Hybridní a konverzní pošta Bystřice pod Hostýnem;24.02.2026;Neuvedeno
00177041;284727113,0;Škoda Auto a.s.;Rámcová dohoda na dodávky osobních automobilů - kategorie 4A nafta automat  (AVISme 2026000370);24.02.2026;284 727 113 CZK bez DPH
18630197;18882889,0;KONSIT a.s.;Smlouva - Denní stacionář;24.02.2026;18 882 889 CZK bez DPH
25750178;85982,0;PROTECH PRODUCTION, s.r.o.;Putovní výstava IROP - dílčí objednávka č. 30;23.02.2026;85 982 CZK bez DPH
01186825;124000,0;SANITKY PRAHA - záchranná služba z.s.;Smlouva o darování vozidla;20.02.2026;124 000 CZK s DPH
00177041;144628,0;Škoda Auto a.s.;Pronájem vozidla na 1 rok;20.02.2026;144 628 CZK bez DPH
26137585;164560,0;IBRS - International Business and Research Services s.r.o.;Dodatek č. 1  k objednávce 94/07/CES-6616/2025/56 na zajištění evaluace s názvem Vyhodnocení obsahové spolupráce s deníky;19.02.2026;164 560 CZK s DPH
15891534;271040,0;EEIP, a.s.;zpracování analýzy nákladovosti výkonu stavební agendy v kontextu novely stavebního  zákona;19.02.2026;271 040 CZK s DPH
13784668;22500,0;Ing. Oto Kuhn;Obj. č.38/2026 Zajištění znaleckých posudků na vyřazení vozů;19.02.2026;22 500 CZK s DPH
;211116,0;Europejskie Ugrupowanie Współpracy Terytorialnej NOVUM z o.o.;Společně řešíme problémy česko-polského pohraničí;18.02.2026;211 116 EUR
48111198;112300,0;ACTIVA spol. s r.o.;Obj. č. 40/2026 - drobný majetek;17.02.2026;112 300 CZK bez DPH
;;Mezinárodní organizace pro migraci (IOM);Poskytnutí finančního příspěvku na podporu Projektu ´Zlepšení přístupu k bydlení cizinců;16.02.2026;Neuvedeno
49353845;38691,0;Jitka Bezoušková;Očalounění dvoukřídlých dveří;13.02.2026;38 691 CZK bez DPH
;510000,0;JUDr. Hynek Brom;Příkazní smlouva o zajištění činnosti hlavního manažera projektu pro koordinaci implementace novely stavebního zákona;12.02.2026;510 000 CZK bez DPH
66002222;;Ministerstvo pro místní rozvoj;Účastnická smlouva;11.02.2026;Neuvedeno
47114983;;Česká pošta, s.p.;Veřejnoprávní smlouvy;11.02.2026;Neuvedeno
66002222;;Ministerstvo pro místní rozvoj;Veřejnoprávní smlouvy;11.02.2026;Neuvedeno
47114983;;Česká pošta, s.p.;Veřejnoprávní smlouva o přenesení výkonu působnosti v obasti doručování prodle stavebního zákona;11.02.2026;Neuvedeno
66002222;;Ministerstvo pro místní rozvoj;Veřejnoprávní smlouva o přenesení výkonu působnosti v obasti doručování prodle stavebního zákona;11.02.2026;Neuvedeno
66002222;;Ministerstvo pro místní rozvoj;Veřejnoprávní smlouva o přenesení výkonu působnosti v oblasti doručování;11.02.2026;Neuvedeno
47114983;;Česká pošta, s.p.;Veřejnoprávní smlouva o přenesení výkonu působnosti v oblasti doručování;11.02.2026;Neuvedeno
00020711;329054,0;Výzkumný ústav vodohospodářský T. G. Masaryka veřejná výzkumná instituce;Smlouva o podmínkách realizace projektu (SoPR) - 261/PP2;11.02.2026;329 054 EUR
04095316;329054,0;Centrum pro regionální rozvoj České republiky;Smlouva o podmínkách realizace projektu (SoPR) - 261/PP2;11.02.2026;329 054 EUR
47114983;50001,0;Česká pošta, s.p.;Veřejnoprávní smlouvy - Veřejnoprávní smlouva o přenesení výkonu působnosti v oblasti doručování;10.02.2026;50 001 CZK bez DPH
66002222;50001,0;Ministerstvo pro místní rozvoj;Veřejnoprávní smlouvy - Veřejnoprávní smlouva o přenesení výkonu působnosti v oblasti doručování;10.02.2026;50 001 CZK bez DPH
47114983;;Česká pošta, s.p.;Veřejnoprávní smlouva o přenesení výkonu působnosti v oblasti doručování - SÚ;09.02.2026;Neuvedeno
66002222;;Ministerstvo pro místní rozvoj;Veřejnoprávní smlouva o přenesení výkonu působnosti v oblasti doručování - SÚ;09.02.2026;Neuvedeno
11249897;92710,0;Jiří Jäger;Úprava elektroinstalací v objektu Vinohradská;06.02.2026;92 710 CZK bez DPH
28426525;1105041,0;Glomex MS, s.r.o.;243600 - Provedení Servisní Údržby v letech 2026 - 2028 FRÉZA SNĚHOVÁ SUPRA 4002, VPZ.215-90-25;06.02.2026;1 105 041 CZK s DPH
66302668;277800,0;Knill David, Ing.;Vypracování energetického auditu a průkazů energetické náročnosti budovy;05.02.2026;277 800 CZK bez DPH
47114983;;Česká pošta, s.p.;Veřejnoprávní smlouva o přenesení výkonu působnosti v oblasti doručování;04.02.2026;Neuvedeno
66002222;;Ministerstvo pro místní rozvoj;Veřejnoprávní smlouva o přenesení výkonu působnosti v oblasti doručování;04.02.2026;Neuvedeno
66002222;;Ministerstvo pro místní rozvoj;veřejnoprávní smlouva o přenesení výkonu působnosti v oblasti doručování - hromadná konverzní pošta (hybridní);04.02.2026;Neuvedeno
47114983;;Česká pošta, s.p.;veřejnoprávní smlouva o přenesení výkonu působnosti v oblasti doručování - hromadná konverzní pošta (hybridní);04.02.2026;Neuvedeno
66362717;192256,0;SPRÁVA INFORMAČNÍCH TECHNOLOGIÍ MĚSTA PLZNĚ, příspěvková organizace;Smlouva o podmínkách realizace projektu (SoPR) - 246/PP3;04.02.2026;192 256 EUR
04095316;192256,0;Centrum pro regionální rozvoj České republiky;Smlouva o podmínkách realizace projektu (SoPR) - 246/PP3;04.02.2026;192 256 EUR
